,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
24,Cameron Archer,ENG,FW,Southampton,23-149,2001,16,9,852,9.5,2,0,2,2,0,1,0,0,4.4,3.6,0.2,3.8,13,9,38,0.21,0.00,0.21,0.21,0.21,0.46,0.02,0.48,0.38,0.40
25,Alphonse Areola,FRA,GK,West Ham,31-294,1993,8,8,675,7.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
26,Joe Aribo,NGA,MF,Southampton,28-149,1996,15,8,903,10.0,2,0,2,2,0,0,0,0,2.2,2.2,1.2,3.4,21,32,39,0.20,0.00,0.20,0.20,0.20,0.22,0.12,0.34,0.22,0.34
27,Adam Armstrong,ENG,"FW,MF",Southampton,27-311,1997,13,10,853,9.5,2,1,3,2,0,1,4,0,2.9,2.0,0.4,2.4,18,16,60,0.21,0.11,0.32,0.21,0.32,0.31,0.05,0.35,0.21,0.25
28,Harrison Armstrong,ENG,MF,Everton,17-333,2007,2,0,3,0.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
29,Kepa Arrizabalaga,ESP,GK,Bournemouth,30-075,1994,11,11,990,11.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
30,Taiwo Awoniyi,NGA,FW,Nott'ham Forest,27-127,1997,11,2,204,2.3,0,0,0,0,0,0,0,0,0.4,0.4,0.1,0.5,3,3,10,0.00,0.00,0.00,0.00,0.00,0.19,0.03,0.22,0.19,0.22
31,Yasin Ayari,SWE,MF,Brighton,21-072,2003,13,9,797,8.9,0,0,0,0,0,0,2,0,0.9,0.9,1.0,1.9,13,31,35,0.00,0.00,0.00,0.00,0.00,0.10,0.11,0.21,0.10,0.21
32,Jordan Ayew,GHA,"FW,MF",Crystal Palace,33-097,1991,1,0,21,0.2,0,0,0,0,0,0,1,0,0.5,0.5,0.0,0.5,0,0,1,0.00,0.00,0.00,0.00,0.00,1.96,0.21,2.17,1.96,2.17
33,Jordan Ayew,GHA,"FW,MF",Leicester City,33-097,1991,14,7,658,7.3,3,0,3,2,1,1,3,0,2.1,1.3,0.1,1.4,12,14,33,0.41,0.00,0.41,0.27,0.27,0.28,0.02,0.30,0.18,0.20
34,Benoît Badiashile,FRA,DF,Chelsea,23-266,2001,4,2,249,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,16,2,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
35,Leon Bailey,JAM,"FW,MF",Aston Villa,27-130,1997,14,10,731,8.1,0,2,2,0,0,0,2,0,0.6,0.6,1.3,1.8,35,21,67,0.00,0.25,0.25,0.00,0.25,0.07,0.16,0.23,0.07,0.23
36,Carlos Baleba,CMR,MF,Brighton,20-349,2004,13,11,897,10.0,2,1,3,2,0,0,4,1,1.0,1.0,0.6,1.6,16,49,9,0.20,0.10,0.30,0.20,0.30,0.10,0.06,0.16,0.10,0.16
37,Ross Barkley,ENG,MF,Aston Villa,31-012,1993,13,2,449,5.0,2,1,3,2,0,0,3,0,1.5,1.5,0.5,2.1,11,25,8,0.40,0.20,0.60,0.40,0.60,0.31,0.11,0.42,0.31,0.42
38,Harvey Barnes,ENG,FW,Newcastle Utd,27-008,1997,16,6,724,8.0,5,1,6,5,0,0,0,0,2.6,2.6,2.4,5.0,39,39,76,0.62,0.12,0.75,0.62,0.75,0.33,0.30,0.62,0.33,0.62
39,Calvin Bassey,NGA,DF,Fulham,24-352,1999,15,15,1350,15.0,0,0,0,0,0,0,5,0,0.3,0.3,0.0,0.3,8,41,6,0.00,0.00,0.00,0.00,0.00,0.02,0.00,0.02,0.02,0.02
40,Jan Bednarek,POL,DF,Southampton,28-249,1996,12,12,1070,11.9,0,0,0,0,0,0,3,0,0.0,0.0,0.4,0.5,4,32,1,0.00,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.00,0.04
41,Jean-Ricner Bellegarde,FRA,"MF,FW",Wolves,26-173,1998,14,9,725,8.1,1,2,3,1,0,0,2,0,0.6,0.6,0.6,1.1,19,13,37,0.12,0.25,0.37,0.12,0.37,0.07,0.07,0.14,0.07,0.14
42,Rodrigo Bentancur,URU,MF,Tottenham,27-175,1997,10,7,535,5.9,1,0,1,1,0,0,4,0,0.7,0.7,0.1,0.8,5,40,3,0.17,0.00,0.17,0.17,0.17,0.11,0.01,0.13,0.11,0.13
43,Sander Berge,NOR,MF,Fulham,26-307,1998,13,9,883,9.8,0,0,0,0,0,0,2,0,0.1,0.1,0.4,0.5,7,40,1,0.00,0.00,0.00,0.00,0.00,0.01,0.04,0.05,0.01,0.05
44,Lucas Bergvall,SWE,MF,Tottenham,18-319,2006,10,1,171,1.9,0,0,0,0,0,0,1,0,0.1,0.1,0.2,0.3,5,12,6,0.00,0.00,0.00,0.00,0.00,0.04,0.12,0.16,0.04,0.16
45,Victor Bernth Kristiansen,DEN,DF,Leicester City,22-001,2002,14,14,1217,13.5,0,1,1,0,0,0,1,0,0.0,0.0,1.0,1.0,18,34,36,0.00,0.07,0.07,0.00,0.07,0.00,0.07,0.07,0.00,0.07
46,Beto,GNB,FW,Everton,26-321,1998,9,1,187,2.1,1,0,1,1,0,0,0,0,1.6,1.6,0.0,1.6,3,1,12,0.48,0.00,0.48,0.48,0.48,0.78,0.00,0.78,0.78,0.78
47,Philip Billing,DEN,MF,Bournemouth,28-189,1996,6,0,71,0.8,0,0,0,0,0,0,0,0,0.3,0.3,0.8,1.1,1,8,8,0.00,0.00,0.00,0.00,0.00,0.43,0.96,1.39,0.43,1.39
48,Yves Bissouma,MLI,MF,Tottenham,28-109,1996,12,8,738,8.2,2,0,2,2,0,0,5,0,0.3,0.3,0.2,0.5,12,51,1,0.24,0.00,0.24,0.24,0.24,0.04,0.03,0.06,0.04,0.06
49,Lamare Bogarde,NED,DF,Aston Villa,20-347,2004,3,3,213,2.4,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,7,8,7,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
50,Willy Boly,CIV,DF,Nott'ham Forest,33-318,1991,3,1,92,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,0,2,0,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
51,Jarrod Bowen,ENG,"FW,MF",West Ham,27-363,1996,16,16,1416,15.7,4,4,8,3,1,1,1,0,3.2,2.5,4.0,6.5,55,57,98,0.25,0.25,0.51,0.19,0.44,0.20,0.26,0.46,0.16,0.41
52,Conor Bradley,NIR,DF,Liverpool,21-161,2003,7,1,236,2.6,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,10,10,15,0.00,0.00,0.00,0.00,0.00,0.15,0.00,0.15,0.15,0.15
53,Jarrad Branthwaite,ENG,DF,Everton,22-173,2002,8,6,548,6.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,10,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
54,James Bree,ENG,DF,Southampton,27-067,1997,3,2,137,1.5,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,6,4,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
