,,,,,,,Playing Time,Playing Time,Playing Time,Playing Time,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,Expected,Progression,Progression,Progression,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes,Per 90 Minutes
Rk,Player,Nation,Pos,Squad,Age,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG
108,Kiernan Dewsbury-Hall,ENG,MF,Chelsea,26-102,1998,5,0,59,0.7,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,3,3,2,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14
109,Amad Diallo,CIV,"FW,DF",Manchester Utd,22-159,2002,14,9,886,9.8,2,6,8,2,0,0,2,0,2.0,2.0,2.2,4.2,61,36,95,0.20,0.61,0.81,0.20,0.81,0.20,0.22,0.42,0.20,0.42
110,Rúben Dias,POR,DF,Manchester City,27-217,1997,13,12,1087,12.1,0,0,0,0,0,0,3,0,1.1,1.1,0.3,1.3,18,75,5,0.00,0.00,0.00,0.00,0.00,0.09,0.02,0.11,0.09,0.11
111,Luis Díaz,COL,FW,Liverpool,27-339,1997,15,10,880,9.8,5,2,7,5,0,0,1,0,3.6,3.6,1.6,5.3,40,34,87,0.51,0.20,0.72,0.51,0.72,0.37,0.17,0.54,0.37,0.54
112,Tyler Dibling,ENG,"MF,FW",Southampton,18-280,2006,15,10,930,10.3,1,0,1,1,0,0,5,0,1.1,1.1,1.2,2.3,44,35,56,0.10,0.00,0.10,0.10,0.10,0.11,0.12,0.22,0.11,0.22
113,Lucas Digne,FRA,DF,Aston Villa,31-150,1993,16,14,1165,12.9,0,2,2,0,0,0,3,0,0.5,0.5,2.9,3.4,11,23,81,0.00,0.15,0.15,0.00,0.15,0.04,0.22,0.27,0.04,0.27
114,Issa Diop,FRA,DF,Fulham,27-343,1997,11,8,753,8.4,0,0,0,0,0,0,2,0,0.5,0.5,0.1,0.6,0,14,1,0.00,0.00,0.00,0.00,0.00,0.06,0.01,0.07,0.06,0.07
115,Axel Disasi,FRA,DF,Chelsea,26-281,1998,3,2,184,2.0,1,0,1,1,0,0,0,0,0.2,0.2,0.0,0.2,1,8,0,0.49,0.00,0.49,0.49,0.49,0.12,0.00,0.12,0.12,0.12
116,Roman Dixon,ENG,DF,Everton,19-357,2004,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
117,Matt Doherty,IRL,DF,Wolves,32-336,1992,9,5,444,4.9,1,0,1,1,0,0,1,0,0.5,0.5,1.0,1.5,5,15,26,0.20,0.00,0.20,0.20,0.20,0.10,0.20,0.30,0.10,0.30
118,Jeremy Doku,BEL,"FW,MF",Manchester City,22-204,2002,12,7,618,6.9,2,2,4,2,0,0,0,0,0.7,0.7,1.4,2.1,88,26,119,0.29,0.29,0.58,0.29,0.58,0.10,0.20,0.30,0.10,0.30
119,Nicolás Domínguez,ARG,"MF,FW",Nott'ham Forest,26-172,1998,14,9,780,8.7,0,0,0,0,0,0,4,0,1.2,1.2,0.2,1.4,8,30,12,0.00,0.00,0.00,0.00,0.00,0.14,0.02,0.16,0.14,0.16
120,Alfie Dorrington,ENG,DF,Tottenham,19-241,2005,1,0,14,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
121,Abdoulaye Doucouré,MLI,MF,Everton,31-351,1993,13,12,983,10.9,0,0,0,0,0,0,0,0,0.6,0.6,0.5,1.1,14,29,24,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10
122,Cheick Doucouré,MLI,MF,Crystal Palace,24-344,2000,8,3,247,2.7,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,1,11,2,0.00,0.00,0.00,0.00,0.00,0.14,0.00,0.14,0.14,0.14
123,Flynn Downes,ENG,MF,Southampton,25-332,1999,14,14,1219,13.5,1,0,1,1,0,0,6,0,0.6,0.6,0.9,1.5,18,48,22,0.07,0.00,0.07,0.07,0.07,0.04,0.06,0.11,0.04,0.11
124,Tommy Doyle,ENG,MF,Wolves,23-061,2001,12,2,331,3.7,0,1,1,0,0,0,0,0,0.5,0.5,0.4,0.8,4,29,2,0.00,0.27,0.27,0.00,0.27,0.13,0.10,0.23,0.13,0.23
125,Radu Drăgușin,ROU,DF,Tottenham,22-318,2002,9,7,716,8.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,3,25,1,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
126,Martin Dúbravka,SVK,GK,Newcastle Utd,35-337,1989,1,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
127,Lewis Dunk,ENG,DF,Brighton,33-026,1991,12,11,994,11.0,0,0,0,0,0,0,4,0,0.6,0.6,0.5,1.1,8,72,1,0.00,0.00,0.00,0.00,0.00,0.05,0.05,0.10,0.05,0.10
128,Jhon Durán,COL,FW,Aston Villa,21-004,2003,16,2,492,5.5,6,0,6,6,0,0,3,0,3.8,3.8,0.2,4.0,5,11,34,1.10,0.00,1.10,1.10,1.10,0.70,0.04,0.74,0.70,0.74
129,Ederson,BRA,GK,Manchester City,31-122,1993,13,13,1170,13.0,0,1,1,0,0,0,3,0,0.0,0.0,0.4,0.4,0,1,0,0.00,0.08,0.08,0.00,0.08,0.00,0.03,0.03,0.00,0.03
130,George Edmundson,ENG,DF,Ipswich Town,27-108,1997,1,0,2,0.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
131,Odsonne Édouard,FRA,"MF,FW",Crystal Palace,26-336,1998,2,1,115,1.3,0,0,0,0,0,0,0,0,0.4,0.4,0.0,0.4,2,4,7,0.00,0.00,0.00,0.00,0.00,0.31,0.04,0.34,0.31,0.34
132,Odsonne Édouard,FRA,FW,Leicester City,26-336,1998,4,0,29,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,1,2,0.00,0.00,0.00,0.00,0.00,0.00,0.13,0.13,0.00,0.13
133,Samuel Edozie,ENG,"DF,FW",Southampton,21-324,2003,2,0,65,0.7,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,6,4,23,0.00,0.00,0.00,0.00,0.00,0.00,0.14,0.14,0.00,0.14
134,Ronnie Edwards,ENG,DF,Southampton,21-264,2003,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
135,Anthony Elanga,SWE,FW,Nott'ham Forest,22-234,2002,16,10,821,9.1,1,2,3,1,0,0,1,0,1.1,1.1,1.2,2.3,28,15,58,0.11,0.22,0.33,0.11,0.33,0.12,0.13,0.25,0.12,0.25
136,Harvey Elliott,ENG,"DF,FW",Liverpool,21-257,2003,3,0,21,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,2,3,4,0.00,0.00,0.00,0.00,0.00,0.16,0.52,0.67,0.16,0.67
137,Yunus Emre Konak,TUR,"MF,FW",Brentford,18-342,2006,4,0,20,0.2,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,1,2,1,0.00,0.00,0.00,0.00,0.00,0.69,0.00,0.69,0.69,0.69
138,Julio Enciso,PAR,"MF,FW",Brighton,20-329,2004,8,0,136,1.5,0,0,0,0,0,0,0,0,0.3,0.3,0.2,0.6,8,7,10,0.00,0.00,0.00,0.00,0.00,0.23,0.15,0.38,0.23,0.38
139,Wataru Endo,JPN,MF,Liverpool,31-312,1993,6,0,23,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.00,0.00,0.00,0.00,0.00,0.00,0.08,0.08,0.00,0.08
140,Christian Eriksen,DEN,MF,Manchester Utd,32-307,1992,9,6,507,5.6,0,0,0,0,0,0,2,0,0.1,0.1,1.7,1.8,4,27,15,0.00,0.00,0.00,0.00,0.00,0.02,0.29,0.31,0.02,0.31
141,Pervis Estupiñán,ECU,DF,Brighton,26-331,1998,13,10,974,10.8,0,1,1,0,0,0,2,0,0.5,0.5,1.3,1.8,30,55,64,0.00,0.09,0.09,0.00,0.09,0.05,0.12,0.17,0.05,0.17
142,Evanilson,BRA,FW,Bournemouth,25-072,1999,15,14,1109,12.3,4,0,4,4,0,1,0,0,5.9,5.1,1.0,6.1,15,9,41,0.32,0.00,0.32,0.32,0.32,0.48,0.08,0.56,0.41,0.50
143,Jonny Evans,NIR,DF,Manchester Utd,36-349,1988,6,3,290,3.2,0,0,0,0,0,0,1,0,0.1,0.1,0.0,0.1,1,8,2,0.00,0.00,0.00,0.00,0.00,0.03,0.00,0.03,0.03,0.03
144,Eberechi Eze,ENG,"MF,FW",Crystal Palace,26-171,1998,13,13,1078,12.0,1,2,3,1,0,0,0,0,3.5,3.5,2.1,5.6,36,54,76,0.08,0.17,0.25,0.08,0.25,0.29,0.18,0.47,0.29,0.47
145,Łukasz Fabiański,POL,GK,West Ham,39-243,1985,9,8,765,8.5,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
146,Wout Faes,BEL,DF,Leicester City,26-258,1998,15,13,1211,13.5,1,0,1,1,0,0,2,0,0.9,0.9,0.0,1.0,4,44,1,0.07,0.00,0.07,0.07,0.07,0.07,0.00,0.07,0.07,0.07
147,Abdul Fatawu Issahaku,GHA,FW,Leicester City,20-284,2004,11,6,579,6.4,0,2,2,0,0,0,0,0,0.4,0.4,1.6,2.0,42,17,60,0.00,0.31,0.31,0.00,0.31,0.06,0.24,0.31,0.06,0.31
148,João Félix,POR,"FW,MF",Chelsea,25-037,1999,9,2,298,3.3,1,1,2,1,0,0,2,0,1.8,1.8,0.9,2.7,17,20,19,0.30,0.30,0.60,0.30,0.60,0.54,0.27,0.80,0.54,0.80
149,Evan Ferguson,IRL,FW,Brighton,20-059,2004,11,2,222,2.5,1,0,1,1,0,0,0,0,0.4,0.4,0.3,0.6,2,1,8,0.41,0.00,0.41,0.41,0.41,0.15,0.11,0.25,0.15,0.25
150,Bruno Fernandes,POR,"MF,FW",Manchester Utd,30-100,1994,16,16,1339,14.9,4,5,9,2,2,2,1,1,5.7,4.1,3.8,7.9,34,111,76,0.27,0.34,0.60,0.13,0.47,0.38,0.26,0.64,0.27,0.53
151,Mateus Fernandes,POR,MF,Southampton,20-160,2004,15,13,1145,12.7,1,1,2,1,0,0,4,0,1.6,1.6,1.1,2.7,35,63,40,0.08,0.08,0.16,0.08,0.16,0.12,0.09,0.21,0.12,0.21
152,Enzo Fernández,ARG,MF,Chelsea,23-335,2001,15,11,1062,11.8,3,4,7,3,0,0,1,0,1.7,1.7,2.4,4.1,13,67,42,0.25,0.34,0.59,0.25,0.59,0.14,0.21,0.35,0.14,0.35
153,Mark Flekken,NED,GK,Brentford,31-187,1993,16,16,1440,16.0,0,1,1,0,0,0,1,0,0.0,0.0,0.2,0.2,0,0,0,0.00,0.06,0.06,0.00,0.06,0.00,0.01,0.01,0.00,0.01
154,Phil Foden,ENG,"MF,FW",Manchester City,24-203,2000,11,7,720,8.0,0,1,1,0,0,0,1,0,1.6,1.6,2.7,4.3,16,37,59,0.00,0.12,0.12,0.00,0.12,0.20,0.34,0.54,0.20,0.54
155,Wesley Fofana,FRA,DF,Chelsea,24-000,2000,12,12,1015,11.3,0,0,0,0,0,0,6,0,0.4,0.4,0.4,0.8,14,25,4,0.00,0.00,0.00,0.00,0.00,0.04,0.04,0.07,0.04,0.07
156,Carlos Forbs,POR,"MF,FW",Wolves,20-273,2004,6,1,206,2.3,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,8,7,24,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.06,0.05,0.06
157,Fraser Forster,ENG,GK,Tottenham,36-275,1988,4,4,360,4.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
158,Ryan Fraser,SCO,"FW,DF",Southampton,30-297,1994,7,4,303,3.4,0,0,0,0,0,0,0,1,0.0,0.0,0.1,0.1,10,8,18,0.00,0.00,0.00,0.00,0.00,0.01,0.03,0.04,0.01,0.04
159,Niclas Füllkrug,GER,FW,West Ham,31-312,1993,5,0,113,1.3,1,0,1,1,0,0,0,0,0.8,0.8,0.2,1.0,2,1,4,0.80,0.00,0.80,0.80,0.80,0.61,0.18,0.79,0.61,0.79
160,Cody Gakpo,NED,FW,Liverpool,25-224,1999,15,7,691,7.7,3,1,4,3,0,0,3,0,2.9,2.9,1.2,4.0,18,20,104,0.39,0.13,0.52,0.39,0.52,0.38,0.15,0.53,0.38,0.53
161,Idrissa Gana Gueye,SEN,MF,Everton,35-082,1989,14,12,1070,11.9,0,0,0,0,0,0,2,0,0.7,0.7,0.6,1.3,13,60,8,0.00,0.00,0.00,0.00,0.00,0.06,0.05,0.11,0.06,0.11
162,Alejandro Garnacho,ARG,"FW,MF",Manchester Utd,20-169,2004,15,10,941,10.5,3,1,4,3,0,0,1,0,4.0,4.0,1.1,5.1,58,18,118,0.29,0.10,0.38,0.29,0.38,0.38,0.10,0.49,0.38,0.49
163,James Garner,ENG,"DF,MF",Everton,23-279,2001,4,2,253,2.8,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.1,1,3,4,0.00,0.00,0.00,0.00,0.00,0.02,0.01,0.02,0.02,0.02
164,Morgan Gibbs-White,ENG,MF,Nott'ham Forest,24-325,2000,12,12,933,10.4,2,2,4,2,0,0,5,1,1.6,1.6,2.5,4.0,28,48,44,0.19,0.19,0.39,0.19,0.39,0.15,0.24,0.39,0.15,0.39
165,Billy Gilmour,SCO,MF,Brighton,23-189,2001,2,1,98,1.1,0,0,0,0,0,0,0,0,0.1,0.1,0.0,0.1,2,11,2,0.00,0.00,0.00,0.00,0.00,0.07,0.00,0.07,0.07,0.07
166,João Gomes,BRA,MF,Wolves,23-309,2001,15,15,1267,14.1,2,1,3,2,0,0,5,0,1.0,1.0,0.3,1.3,28,62,30,0.14,0.07,0.21,0.14,0.21,0.07,0.02,0.09,0.07,0.09
167,Rodrigo Gomes,POR,"DF,FW",Wolves,21-163,2003,9,3,272,3.0,0,0,0,0,0,0,0,0,0.1,0.1,0.2,0.2,10,6,30,0.00,0.00,0.00,0.00,0.00,0.02,0.05,0.08,0.02,0.08
168,Toti Gomes,POR,DF,Wolves,25-336,1999,14,13,1084,12.0,0,1,1,0,0,0,4,0,0.0,0.0,0.6,0.7,5,31,6,0.00,0.08,0.08,0.00,0.08,0.00,0.05,0.05,0.00,0.05
169,Joe Gomez,ENG,DF,Liverpool,27-208,1997,6,3,303,3.4,0,0,0,0,0,0,0,0,0.3,0.3,0.0,0.3,1,10,1,0.00,0.00,0.00,0.00,0.00,0.10,0.00,0.10,0.10,0.10
170,Anthony Gordon,ENG,FW,Newcastle Utd,23-297,2001,15,14,1183,13.1,3,2,5,2,1,2,1,0,4.9,3.3,3.1,6.4,55,36,103,0.23,0.15,0.38,0.15,0.30,0.37,0.23,0.61,0.25,0.49
171,Ryan Gravenberch,NED,MF,Liverpool,22-215,2002,15,15,1325,14.7,0,1,1,0,0,0,4,0,0.6,0.6,1.3,1.9,31,81,19,0.00,0.07,0.07,0.00,0.07,0.04,0.09,0.13,0.04,0.13
172,Archie Gray,ENG,"DF,MF",Tottenham,18-280,2006,9,2,243,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,10,3,0.00,0.00,0.00,0.00,0.00,0.01,0.00,0.01,0.01,0.01
173,Jack Grealish,ENG,"FW,MF",Manchester City,29-098,1995,12,5,483,5.4,0,1,1,0,0,0,2,0,0.6,0.6,1.3,1.9,55,35,79,0.00,0.19,0.19,0.00,0.19,0.12,0.24,0.36,0.12,0.36
174,Jacob Greaves,ENG,DF,Ipswich Town,24-096,2000,8,8,720,8.0,0,0,0,0,0,0,2,0,0.4,0.4,0.0,0.4,1,17,3,0.00,0.00,0.00,0.00,0.00,0.05,0.00,0.05,0.05,0.05
175,Brajan Gruda,GER,MF,Brighton,20-200,2004,6,0,87,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,3,1,7,0.00,0.00,0.00,0.00,0.00,0.05,0.12,0.17,0.05,0.17
176,Gonçalo Guedes,POR,"FW,MF",Wolves,28-018,1996,13,1,269,3.0,1,3,4,1,0,0,1,0,0.5,0.5,0.7,1.2,9,15,23,0.33,1.00,1.34,0.33,1.34,0.18,0.23,0.41,0.18,0.41
177,Marc Guéhi,ENG,DF,Crystal Palace,24-157,2000,16,16,1440,16.0,2,1,3,2,0,0,3,0,1.3,1.3,0.5,1.9,7,63,3,0.12,0.06,0.19,0.12,0.19,0.08,0.03,0.12,0.08,0.12
178,Luis Guilherme,BRA,MF,West Ham,18-312,2006,2,0,13,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
179,Bruno Guimarães,BRA,MF,Newcastle Utd,27-031,1997,16,16,1396,15.5,1,3,4,1,0,0,3,0,1.8,1.8,1.7,3.5,20,102,21,0.06,0.19,0.26,0.06,0.26,0.11,0.11,0.23,0.11,0.23
180,Marc Guiu,ESP,FW,Chelsea,18-348,2006,1,0,24,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
181,İlkay Gündoğan,GER,MF,Manchester City,34-054,1990,15,12,1041,11.6,0,1,1,0,0,0,1,0,1.6,1.6,1.3,2.9,30,68,52,0.00,0.09,0.09,0.00,0.09,0.14,0.11,0.25,0.14,0.25
182,Malo Gusto,FRA,DF,Chelsea,21-212,2003,13,11,956,10.6,0,1,1,0,0,0,2,0,1.1,1.1,0.7,1.9,22,58,44,0.00,0.09,0.09,0.00,0.09,0.11,0.07,0.18,0.11,0.18
183,Joško Gvardiol,CRO,DF,Manchester City,22-329,2002,15,14,1302,14.5,4,0,4,4,0,0,0,0,1.7,1.7,1.5,3.2,38,123,44,0.28,0.00,0.28,0.28,0.28,0.12,0.11,0.22,0.12,0.22
184,Erling Haaland,NOR,FW,Manchester City,24-149,2000,16,16,1439,16.0,13,1,14,12,1,1,2,0,13.0,12.2,1.1,13.3,9,11,60,0.81,0.06,0.88,0.75,0.81,0.82,0.07,0.88,0.77,0.83
185,Lewis Hall,ENG,DF,Newcastle Utd,20-100,2004,16,13,1228,13.6,0,2,2,0,0,0,3,0,0.3,0.3,3.1,3.3,26,78,41,0.00,0.15,0.15,0.00,0.15,0.02,0.23,0.24,0.02,0.24
186,Ali Al Hamadi,IRQ,FW,Ipswich Town,22-291,2002,7,0,74,0.8,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,2,1,6,0.00,0.00,0.00,0.00,0.00,0.07,0.06,0.13,0.07,0.13
187,Marcus Harness,ENG,MF,Ipswich Town,28-297,1996,2,0,45,0.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,2,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
188,Jack Harrison,ENG,FW,Everton,28-027,1996,14,8,732,8.1,0,0,0,0,0,0,0,0,1.6,1.6,1.5,3.1,19,17,51,0.00,0.00,0.00,0.00,0.00,0.19,0.18,0.38,0.19,0.38
189,Taylor Harwood-Bellis,ENG,DF,Southampton,22-322,2002,15,14,1220,13.6,1,0,1,1,0,0,5,0,1.2,1.2,0.4,1.6,8,54,5,0.07,0.00,0.07,0.07,0.07,0.09,0.03,0.12,0.09,0.12
190,Kai Havertz,GER,FW,Arsenal,25-189,1999,15,15,1333,14.8,5,2,7,5,0,0,2,0,5.9,5.9,2.2,8.0,23,44,79,0.34,0.14,0.47,0.34,0.47,0.40,0.15,0.54,0.40,0.54
191,Jan Paul van Hecke,NED,DF,Brighton,24-192,2000,14,13,1160,12.9,0,1,1,0,0,0,4,0,0.6,0.6,0.8,1.4,21,106,3,0.00,0.08,0.08,0.00,0.08,0.05,0.06,0.11,0.05,0.11
192,Hwang Hee-chan,KOR,"MF,FW",Wolves,28-326,1996,10,2,319,3.5,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.1,7,6,11,0.00,0.00,0.00,0.00,0.00,0.00,0.03,0.03,0.00,0.03
193,Dean Henderson,ENG,GK,Crystal Palace,27-280,1997,16,16,1440,16.0,0,0,0,0,0,0,2,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
194,Mads Hermansen,DEN,GK,Leicester City,24-159,2000,16,16,1395,15.5,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
195,Son Heung-min,KOR,FW,Tottenham,32-162,1992,13,12,985,10.9,5,6,11,5,0,0,0,0,3.5,3.5,5.7,9.1,49,64,138,0.46,0.55,1.01,0.46,1.01,0.32,0.52,0.83,0.32,0.83
196,James Hill,ENG,MF,Bournemouth,22-342,2002,1,0,5,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
197,Jack Hinshelwood,ENG,"MF,DF",Brighton,19-250,2005,10,10,840,9.3,1,0,1,1,0,0,2,0,0.7,0.7,0.3,1.0,10,31,27,0.11,0.00,0.11,0.11,0.11,0.08,0.03,0.11,0.08,0.11
198,George Hirst,ENG,FW,Ipswich Town,25-306,1999,8,1,180,2.0,1,1,2,1,0,0,1,0,0.8,0.8,0.3,1.0,3,7,14,0.50,0.50,1.00,0.50,1.00,0.38,0.13,0.51,0.38,0.51
199,Mason Holgate,ENG,"FW,DF",Everton,28-056,1996,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
200,Callum Hudson-Odoi,ENG,FW,Nott'ham Forest,24-040,2000,15,13,1140,12.7,2,1,3,2,0,0,1,0,1.3,1.3,1.3,2.6,68,37,105,0.16,0.08,0.24,0.16,0.24,0.10,0.10,0.20,0.10,0.20
201,Will Hughes,ENG,MF,Crystal Palace,29-244,1995,14,9,885,9.8,0,2,2,0,0,0,6,0,0.6,0.6,1.3,1.8,13,48,13,0.00,0.20,0.20,0.00,0.20,0.06,0.13,0.19,0.06,0.19
202,Dean Huijsen,ESP,DF,Bournemouth,19-247,2005,10,5,524,5.8,1,0,1,1,0,0,1,0,0.9,0.9,0.4,1.3,5,25,1,0.17,0.00,0.17,0.17,0.17,0.15,0.07,0.22,0.15,0.22
203,Omari Hutchinson,ENG,"MF,FW",Ipswich Town,21-048,2003,15,15,1311,14.6,1,1,2,1,0,0,4,0,1.3,1.3,1.5,2.8,45,38,74,0.07,0.07,0.14,0.07,0.14,0.09,0.10,0.19,0.09,0.19
204,Rasmus Højlund,DEN,FW,Manchester Utd,21-317,2003,11,8,684,7.6,2,0,2,2,0,0,1,0,1.8,1.8,0.7,2.6,10,7,30,0.26,0.00,0.26,0.26,0.26,0.24,0.10,0.34,0.24,0.34
205,Igor,BRA,DF,Brighton,26-314,1998,10,7,748,8.3,0,0,0,0,0,0,3,0,0.0,0.0,0.2,0.2,9,36,0,0.00,0.00,0.00,0.00,0.00,0.01,0.02,0.03,0.01,0.03
206,Danny Ings,ENG,FW,West Ham,32-147,1992,9,1,180,2.0,1,1,2,1,0,0,0,0,2.1,2.1,0.7,2.8,5,3,19,0.50,0.50,1.00,0.50,1.00,1.03,0.37,1.41,1.03,1.41
207,Tim Iroegbunam,ENG,MF,Everton,21-170,2003,6,4,383,4.3,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,5,10,7,0.00,0.00,0.00,0.00,0.00,0.05,0.02,0.07,0.05,0.07
208,Andy Irving,SCO,MF,West Ham,24-218,2000,5,0,51,0.6,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,0,4,0,0.00,0.00,0.00,0.00,0.00,0.06,0.00,0.06,0.06,0.06
209,Alexander Isak,SWE,FW,Newcastle Utd,25-087,1999,14,14,1127,12.5,7,4,11,7,0,0,0,0,7.1,7.1,2.5,9.6,30,34,82,0.56,0.32,0.88,0.56,0.88,0.56,0.20,0.76,0.56,0.76
210,Alex Iwobi,NGA,FW,Fulham,28-228,1996,16,16,1389,15.4,5,3,8,5,0,0,1,0,2.4,2.4,3.5,5.8,59,97,114,0.32,0.19,0.52,0.32,0.52,0.15,0.22,0.38,0.15,0.38
211,Nicolas Jackson,SEN,FW,Chelsea,23-180,2001,15,15,1182,13.1,9,3,12,9,0,0,4,0,8.5,8.5,1.8,10.2,28,16,57,0.69,0.23,0.91,0.69,0.91,0.65,0.13,0.78,0.65,0.78
212,Reece James,ENG,DF,Chelsea,25-009,1999,4,3,241,2.7,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,8,1,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
213,Vitaly Janelt,GER,MF,Brentford,26-221,1998,15,13,1154,12.8,1,3,4,1,0,0,2,0,0.6,0.6,1.9,2.5,8,47,22,0.08,0.23,0.31,0.08,0.31,0.04,0.15,0.19,0.04,0.19
214,Vitezslav Jaros,CZE,GK,Liverpool,23-147,2001,1,0,12,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00
215,Daniel Jebbison,ENG,FW,Bournemouth,21-126,2003,2,0,28,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,0,1,0.00,0.00,0.00,0.00,0.00,0.00,0.07,0.07,0.00,0.07
216,Mathias Jensen,DEN,MF,Brentford,28-351,1996,8,6,479,5.3,0,1,1,0,0,0,1,0,0.2,0.2,0.8,1.0,5,33,15,0.00,0.19,0.19,0.00,0.19,0.04,0.15,0.19,0.04,0.19
217,Gabriel Jesus,BRA,FW,Arsenal,27-258,1997,13,2,273,3.0,0,0,0,0,0,0,4,0,0.9,0.9,0.5,1.4,7,11,31,0.00,0.00,0.00,0.00,0.00,0.30,0.16,0.46,0.30,0.46
218,Raúl Jiménez,MEX,FW,Fulham,33-226,1991,16,12,968,10.8,5,2,7,4,1,1,1,0,4.9,4.1,2.2,6.3,10,20,44,0.46,0.19,0.65,0.37,0.56,0.46,0.20,0.66,0.39,0.59
219,João Pedro,BRA,"MF,FW",Brighton,23-082,2001,10,8,679,7.5,4,3,7,4,0,0,1,0,2.5,2.5,1.6,4.1,27,28,44,0.53,0.40,0.93,0.53,0.93,0.33,0.21,0.54,0.33,0.54
220,Joelinton,BRA,"MF,FW",Newcastle Utd,28-125,1996,16,16,1319,14.7,2,0,2,2,0,0,5,0,2.2,2.2,1.3,3.5,22,68,71,0.14,0.00,0.14,0.14,0.14,0.15,0.09,0.24,0.15,0.24
