,,,,,,,,SCA,SCA,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,SCA Types,GCA,GCA,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types,GCA Types
Rk,Player,Nation,Pos,Squad,Age,Born,90s,SCA,SCA90,PassLive,PassDead,TO,Sh,Fld,Def,GCA,GCA90,PassLive,PassDead,TO,Sh,Fld,Def
206,Danny Ings,ENG,FW,West Ham,32-147,1992,2.0,10,5.00,5,0,1,3,1,0,2,1.00,0,0,0,1,1,0
207,Tim Iroegbunam,ENG,MF,Everton,21-170,2003,4.3,9,2.11,5,0,1,0,1,2,0,0.00,0,0,0,0,0,0
208,Andy Irving,SCO,MF,West Ham,24-218,2000,0.6,1,1.73,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
209,Alexander Isak,SWE,FW,Newcastle Utd,25-087,1999,12.5,42,3.35,30,1,4,4,1,2,5,0.40,4,0,0,0,0,1
210,Alex Iwobi,NGA,FW,Fulham,28-228,1996,15.4,62,4.02,54,0,4,3,1,0,10,0.65,8,0,2,0,0,0
211,Nicolas Jackson,SEN,FW,Chelsea,23-180,2001,13.1,35,2.67,23,0,6,3,2,1,7,0.53,5,0,1,1,0,0
212,Reece James,ENG,DF,Chelsea,25-009,1999,2.7,3,1.12,3,0,0,0,0,0,0,0.00,0,0,0,0,0,0
213,Vitaly Janelt,GER,MF,Brentford,26-221,1998,12.8,18,1.40,17,1,0,0,0,0,3,0.23,3,0,0,0,0,0
214,Vitezslav Jaros,CZE,GK,Liverpool,23-147,2001,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
215,Daniel Jebbison,ENG,FW,Bournemouth,21-126,2003,0.3,2,6.43,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
216,Mathias Jensen,DEN,MF,Brentford,28-351,1996,5.3,21,3.95,14,6,1,0,0,0,3,0.56,1,1,1,0,0,0
217,Gabriel Jesus,BRA,FW,Arsenal,27-258,1997,3.0,11,3.61,6,0,1,2,1,1,1,0.33,0,0,0,1,0,0
218,Raúl Jiménez,MEX,FW,Fulham,33-226,1991,10.8,22,2.05,14,1,0,3,3,1,4,0.37,3,0,0,0,0,1
219,João Pedro,BRA,"MF,FW",Brighton,23-082,2001,7.5,21,2.78,16,0,2,0,3,0,4,0.53,4,0,0,0,0,0
220,Joelinton,BRA,"MF,FW",Newcastle Utd,28-125,1996,14.7,36,2.45,29,2,0,3,0,2,3,0.20,3,0,0,0,0,0
221,Ben Johnson,ENG,"DF,FW",Ipswich Town,24-328,2000,5.6,10,1.80,6,2,0,0,2,0,2,0.36,2,0,0,0,0,0
222,Brennan Johnson,WAL,FW,Tottenham,23-208,2001,13.0,25,1.92,20,0,3,2,0,0,3,0.23,2,0,1,0,0,0
223,Sam Johnstone,ENG,GK,Wolves,31-267,1993,7.0,2,0.29,2,0,0,0,0,0,0,0.00,0,0,0,0,0,0
224,Curtis Jones,ENG,MF,Liverpool,23-322,2001,7.1,12,1.70,11,0,0,0,1,0,3,0.42,2,0,0,0,1,0
225,Jorginho,ITA,MF,Arsenal,32-363,1991,4.4,6,1.37,5,0,0,0,1,0,0,0.00,0,0,0,0,0,0
226,Diogo Jota,POR,FW,Liverpool,28-013,1996,5.6,12,2.14,6,0,3,2,1,0,4,0.71,2,0,1,0,1,0
227,James Justin,ENG,DF,Leicester City,26-298,1998,14.9,17,1.14,12,1,0,0,4,0,1,0.07,1,0,0,0,0,0
228,Filip Jørgensen,DEN,GK,Chelsea,22-245,2002,1.0,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
229,Ferdi Kadioglu,TUR,"DF,MF",Brighton,25-071,1999,4.3,13,3.03,11,0,0,0,1,1,2,0.47,2,0,0,0,0,0
230,Daichi Kamada,JPN,MF,Crystal Palace,28-134,1996,7.2,27,3.73,22,3,0,1,0,1,1,0.14,0,1,0,0,0,0
231,Boubacar Kamara,FRA,MF,Aston Villa,25-024,1999,3.8,3,0.78,2,0,0,0,0,1,1,0.26,1,0,0,0,0,0
232,Michael Keane,ENG,DF,Everton,31-341,1993,9.0,6,0.67,6,0,0,0,0,0,0,0.00,0,0,0,0,0,0
233,Caoimhín Kelleher,IRL,GK,Liverpool,26-024,1998,8.0,3,0.37,3,0,0,0,0,0,1,0.12,1,0,0,0,0,0
234,Lloyd Kelly,ENG,DF,Newcastle Utd,26-072,1998,3.3,2,0.60,2,0,0,0,0,0,1,0.30,1,0,0,0,0,0
235,Milos Kerkez,HUN,DF,Bournemouth,21-040,2003,15.2,40,2.63,35,1,1,1,0,2,4,0.26,3,0,1,0,0,0
236,Bilal El Khannouss,MAR,"MF,FW",Leicester City,20-221,2004,5.7,14,2.46,12,2,0,0,0,0,1,0.18,1,0,0,0,0,0
237,Max Kilman,ENG,DF,West Ham,27-208,1997,16.0,14,0.87,12,0,2,0,0,0,3,0.19,2,0,1,0,0,0
238,Joshua King,ENG,MF,Fulham,17-349,2007,0.1,0,0.00,0,0,0,0,0,0,0,0.00,0,0,0,0,0,0
239,Jakub Kiwior,POL,DF,Arsenal,24-306,2000,3.6,1,0.28,1,0,0,0,0,0,0,0.00,0,0,0,0,0,0
240,Justin Kluivert,NED,"MF,FW",Bournemouth,25-226,1999,10.9,38,3.49,35,0,2,0,0,1,5,0.46,5,0,0,0,0,0
