,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
360,Jacob Ramsey,ENG,"FW,MF",Aston Villa,23-203,2001,7.0,0,10,3,30.0,1.42,0.43,0.00,0.00,17.9,0,0,0,0.7,0.7,0.07,-0.7,-0.7
361,Marcus Rashford,ENG,"FW,MF",Manchester Utd,27-047,1997,10.9,4,16,9,56.3,1.47,0.83,0.25,0.44,16.4,0,0,0,1.7,1.7,0.11,+2.3,+2.3
362,David Raya,ESP,GK,Arsenal,29-093,1995,16.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
363,Harrison Reed,ENG,MF,Fulham,29-325,1995,0.7,0,1,0,0.0,1.48,0.00,0.00,0,28.5,0,0,0,0.0,0.0,0.01,0.0,0.0
364,Bobby Reid,JAM,"FW,MF",Leicester City,31-319,1993,2.7,1,5,2,40.0,1.87,0.75,0.20,0.50,25.6,0,0,0,0.7,0.7,0.14,+0.3,+0.3
365,Chadi Riad,MAR,DF,Crystal Palace,21-183,2003,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
366,Declan Rice,ENG,MF,Arsenal,25-338,1999,12.9,0,16,3,18.8,1.24,0.23,0.00,0.00,20.7,0,0,0,1.0,1.0,0.06,-1.0,-1.0
367,Chris Richards,USA,DF,Crystal Palace,24-264,2000,3.9,0,1,0,0.0,0.25,0.00,0.00,0,8.0,0,0,0,0.1,0.1,0.12,-0.1,-0.1
368,Richarlison,BRA,FW,Tottenham,27-221,1997,1.0,0,1,0,0.0,1.00,0.00,0.00,0,4.8,0,0,0,0.2,0.2,0.19,-0.2,-0.2
369,Andrew Robertson,SCO,DF,Liverpool,30-281,1994,11.6,0,4,2,50.0,0.35,0.17,0.00,0.00,12.9,0,0,0,0.5,0.5,0.12,-0.5,-0.5
370,Antonee Robinson,USA,DF,Fulham,27-131,1997,16.0,0,9,1,11.1,0.56,0.06,0.00,0.00,23.9,0,0,0,0.3,0.3,0.03,-0.3,-0.3
371,Rodri,ESP,MF,Manchester City,28-178,1996,0.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
372,Guido Rodríguez,ARG,MF,West Ham,30-249,1994,9.1,0,7,1,14.3,0.77,0.11,0.00,0.00,28.7,0,0,0,0.1,0.1,0.02,-0.1,-0.1
373,Mads Roerslev,DEN,DF,Brentford,25-176,1999,6.0,0,1,0,0.0,0.17,0.00,0.00,0,30.1,0,0,0,0.0,0.0,0.00,0.0,0.0
