,,,,,,,,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Standard,Expected,Expected,Expected,Expected,Expected
Rk,Player,Nation,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
439,Pau Torres,ESP,DF,Aston Villa,27-336,1997,15.0,0,5,1,20.0,0.33,0.07,0.00,0.00,10.4,0,0,0,0.3,0.3,0.06,-0.3,-0.3
440,Conor Townsend,ENG,MF,Ipswich Town,31-288,1993,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
441,Adama Traoré,ESP,"FW,MF",Fulham,28-327,1996,9.1,1,22,8,36.4,2.41,0.88,0.05,0.13,14.9,0,0,0,2.8,2.8,0.13,-1.8,-1.8
442,Mark Travers,IRL,GK,Bournemouth,25-213,1999,3.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
443,Ryan Trevitt,ENG,MF,Brentford,21-280,2003,0.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
444,Kieran Trippier,ENG,DF,Newcastle Utd,34-089,1990,3.6,0,1,0,0.0,0.28,0.00,0.00,0,17.0,0,0,0,0.0,0.0,0.03,0.0,0.0
445,Leandro Trossard,BEL,FW,Arsenal,30-013,1994,9.4,3,21,8,38.1,2.22,0.85,0.14,0.38,15.8,0,0,0,2.9,2.9,0.14,+0.1,+0.1
446,Kostas Tsimikas,GRE,DF,Liverpool,28-219,1996,2.6,0,2,1,50.0,0.78,0.39,0.00,0.00,19.9,0,0,0,0.1,0.1,0.04,-0.1,-0.1
447,Axel Tuanzebe,COD,DF,Ipswich Town,27-033,1997,8.6,0,3,0,0.0,0.35,0.00,0.00,0,11.5,0,0,0,0.2,0.2,0.06,-0.2,-0.2
448,Destiny Udogie,ITA,DF,Tottenham,22-019,2002,14.5,0,5,1,20.0,0.35,0.07,0.00,0.00,15.1,0,0,0,0.3,0.3,0.06,-0.3,-0.3
449,Manuel Ugarte Ribeiro,URU,MF,Manchester Utd,23-250,2001,6.6,0,2,0,0.0,0.30,0.00,0.00,0,27.1,0,0,0,0.0,0.0,0.02,0.0,0.0
450,Lesley Ugochukwu,FRA,MF,Southampton,20-266,2004,2.3,0,1,0,0.0,0.43,0.00,0.00,0,7.4,0,0,0,0.2,0.2,0.21,-0.2,-0.2
451,Enes Ünal,TUR,"FW,MF",Bournemouth,27-221,1997,2.5,2,16,6,37.5,6.40,2.40,0.13,0.33,14.5,2,0,0,2.2,2.2,0.14,-0.2,-0.2
452,Virgil van Dijk,NED,DF,Liverpool,33-162,1991,15.0,1,10,3,30.0,0.67,0.20,0.10,0.33,13.7,1,0,0,0.9,0.9,0.09,+0.1,+0.1
453,Jamie Vardy,ENG,FW,Leicester City,37-341,1987,13.2,6,18,7,38.9,1.36,0.53,0.28,0.71,12.4,0,1,1,4.7,3.9,0.22,+1.3,+1.1
454,Renato Veiga,POR,"DF,MF",Chelsea,21-141,2003,2.0,0,3,1,33.3,1.49,0.50,0.00,0.00,17.1,0,0,0,0.2,0.2,0.05,-0.2,-0.2
455,Joël Veltman,NED,DF,Brighton,32-337,1992,10.6,0,2,0,0.0,0.19,0.00,0.00,0,22.3,0,0,0,0.1,0.1,0.03,-0.1,-0.1
456,Micky van de Ven,NED,DF,Tottenham,23-242,2001,8.8,0,5,1,20.0,0.57,0.11,0.00,0.00,10.8,0,0,0,0.4,0.4,0.07,-0.4,-0.4
457,Bart Verbruggen,NED,GK,Brighton,22-121,2002,14.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
458,Jannik Vestergaard,DEN,DF,Leicester City,32-136,1992,7.2,0,1,0,0.0,0.14,0.00,0.00,0,12.2,0,0,0,0.0,0.0,0.01,0.0,0.0
459,Guglielmo Vicario,ITA,GK,Tottenham,28-071,1996,12.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
460,Kyle Walker,ENG,DF,Manchester City,34-203,1990,9.7,0,5,2,40.0,0.51,0.21,0.00,0.00,27.7,0,0,0,0.1,0.1,0.03,-0.1,-0.1
461,Kyle Walker-Peters,ENG,DF,Southampton,27-248,1997,13.9,0,9,3,33.3,0.65,0.22,0.00,0.00,19.1,0,0,0,0.3,0.3,0.03,-0.3,-0.3
462,Christian Walton,ENG,GK,Ipswich Town,29-038,1995,1.0,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
463,Aaron Wan-Bissaka,ENG,DF,West Ham,27-021,1997,14.0,2,7,3,42.9,0.50,0.21,0.29,0.67,16.6,0,0,0,0.6,0.6,0.09,+1.4,+1.4
464,Danny Ward,WAL,GK,Leicester City,31-178,1993,0.5,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
465,James Ward-Prowse,ENG,MF,West Ham,30-046,1994,0.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
466,James Ward-Prowse,ENG,MF,Nott'ham Forest,30-046,1994,4.2,0,2,1,50.0,0.47,0.24,0.00,0.00,29.0,1,0,0,0.1,0.1,0.03,-0.1,-0.1
467,Ollie Watkins,ENG,FW,Aston Villa,28-353,1995,12.5,7,42,18,42.9,3.36,1.44,0.14,0.33,11.4,0,1,1,8.7,7.9,0.19,-1.7,-1.9
468,Adam Webster,ENG,DF,Brighton,29-348,1995,0.9,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
469,Danny Welbeck,ENG,FW,Brighton,34-021,1990,12.4,6,35,13,37.1,2.83,1.05,0.17,0.46,15.8,7,0,0,5.6,5.6,0.16,+0.4,+0.4
470,Timo Werner,GER,"FW,MF",Tottenham,28-286,1996,4.4,0,8,3,37.5,1.80,0.68,0.00,0.00,18.2,0,0,0,1.0,1.0,0.12,-1.0,-1.0
471,Adam Wharton,ENG,MF,Crystal Palace,20-198,2004,6.9,0,9,5,55.6,1.30,0.72,0.00,0.00,25.6,0,0,0,0.2,0.2,0.03,-0.2,-0.2
472,Ben White,ENG,DF,Arsenal,27-070,1997,7.7,0,4,1,25.0,0.52,0.13,0.00,0.00,23.6,0,0,0,0.1,0.1,0.03,-0.1,-0.1
473,Mats Wieffer,NED,MF,Brighton,25-031,1999,4.6,0,4,1,25.0,0.87,0.22,0.00,0.00,10.3,0,0,0,0.3,0.3,0.07,-0.3,-0.3
474,Neco Williams,WAL,DF,Nott'ham Forest,23-248,2001,7.2,0,14,4,28.6,1.94,0.55,0.00,0.00,20.9,1,0,0,0.7,0.7,0.05,-0.7,-0.7
475,Joe Willock,ENG,"MF,FW",Newcastle Utd,25-119,1999,5.1,0,8,1,12.5,1.56,0.19,0.00,0.00,16.3,0,0,0,0.5,0.5,0.06,-0.5,-0.5
Rk,Player,,Pos,Squad,Age,Born,90s,Gls,Sh,SoT,SoT%,Sh/90,SoT/90,G/Sh,G/SoT,Dist,FK,PK,PKatt,xG,npxG,npxG/Sh,G-xG,np:G-xG
476,Callum Wilson,ENG,"FW,MF",Newcastle Utd,32-294,1992,0.7,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
477,Harry Wilson,WAL,"FW,MF",Fulham,27-270,1997,3.7,3,10,3,30.0,2.67,0.80,0.30,1.00,14.7,1,0,0,1.5,1.5,0.15,+1.5,+1.5
478,Harry Winks,ENG,MF,Leicester City,28-319,1996,9.6,0,7,2,28.6,0.73,0.21,0.00,0.00,29.9,0,0,0,0.2,0.2,0.02,-0.2,-0.2
479,Yoane Wissa,COD,FW,Brentford,28-105,1996,10.6,9,23,14,60.9,2.16,1.32,0.39,0.64,13.5,0,0,0,6.3,6.3,0.27,+2.7,+2.7
480,Chris Wood,NZL,FW,Nott'ham Forest,33-010,1991,13.7,10,26,15,57.7,1.89,1.09,0.31,0.53,14.3,0,2,2,6.2,4.6,0.18,+3.8,+3.4
481,Nathan Wood-Gordon,ENG,DF,Southampton,22-200,2002,2.8,0,1,0,0.0,0.35,0.00,0.00,0,6.0,0,0,0,0.2,0.2,0.18,-0.2,-0.2
482,Luke Woolfenden,ENG,DF,Ipswich Town,26-057,1998,4.2,0,1,0,0.0,0.24,0.00,0.00,0,12.9,0,0,0,0.0,0.0,0.03,0.0,0.0
483,Yehor Yarmoliuk,UKR,MF,Brentford,20-291,2004,4.4,0,5,1,20.0,1.14,0.23,0.00,0.00,16.0,0,0,0,0.4,0.4,0.08,-0.4,-0.4
484,Ryan Yates,ENG,MF,Nott'ham Forest,27-026,1997,13.2,1,23,6,26.1,1.74,0.45,0.04,0.17,17.8,0,0,0,1.7,1.7,0.07,-0.7,-0.7
485,Leny Yoro,FRA,DF,Manchester Utd,19-034,2005,1.2,0,0,0,0,0.00,0.00,0,0,0,0,0,0,0.0,0.0,0,0.0,0.0
486,Ashley Young,ENG,DF,Everton,39-161,1985,12.5,1,4,2,50.0,0.32,0.16,0.25,0.50,25.8,2,0,0,0.2,0.2,0.04,+0.8,+0.8
487,Illia Zabarnyi,UKR,DF,Bournemouth,22-107,2002,16.0,0,3,0,0.0,0.19,0.00,0.00,0,7.1,0,0,0,0.4,0.4,0.14,-0.4,-0.4
488,Oleksandr Zinchenko,UKR,"DF,MF",Arsenal,28-002,1996,2.6,0,1,0,0.0,0.38,0.00,0.00,0,11.1,0,0,0,0.1,0.1,0.06,-0.1,-0.1
489,Joshua Zirkzee,NED,"FW,MF",Manchester Utd,23-209,2001,6.7,3,15,8,53.3,2.22,1.19,0.20,0.38,12.9,0,0,0,3.0,3.0,0.20,0.0,0.0
490,Martin Ødegaard,NOR,MF,Arsenal,26-000,1998,8.1,1,12,4,33.3,1.49,0.50,0.00,0.00,17.8,0,1,1,2.2,1.4,0.11,-1.2,-1.4
